tournament_id,tournament_name,category_name,url,is_important
170,1. HNL,Croácia,https://betnacional.bet.br/events/1/14/170,Não
172,1. Liga,República Checa,https://betnacional.bet.br/events/1/18/172,Não
98,1. Liga,Turquia,https://betnacional.bet.br/events/1/46/98,Não
199,1. MFL,Macedónia,https://betnacional.bet.br/events/1/159/199,Não
742,1ª Divisão,Andorra,https://betnacional.bet.br/events/1/376/742,Não
736,1ª Divisão,Azerbaijão,https://betnacional.bet.br/events/1/297/736,Não
171,1ª Divisão,Chipre,https://betnacional.bet.br/events/1/102/171,Não
47,1ª Divisão,Dinamarca,https://betnacional.bet.br/events/1/8/47,Não
22,1ª Divisão ,Noruega,https://betnacional.bet.br/events/1/5/22,Não
44,2. Bundesliga,Alemanha,https://betnacional.bet.br/events/1/30/44,Não
724,2. HNL,Croácia,https://betnacional.bet.br/events/1/14/724,Não
135,2. Liga,Áustria,https://betnacional.bet.br/events/1/17/135,Não
224,2. Liga,Eslováquia,https://betnacional.bet.br/events/1/23/224,Não
40305,2. Liga; Division A,Rússia,https://betnacional.bet.br/events/1/21/40305,Não
65,2ª Divisão,Dinamarca,https://betnacional.bet.br/events/1/8/65,Não
532,2ª Liga,Eslovénia,https://betnacional.bet.br/events/1/24/532,Não
97,2ª Liga,Turquia Amadores,https://betnacional.bet.br/events/1/254/97,Não
491,3. Liga,Alemanha,https://betnacional.bet.br/events/1/30/491,Não
198,A Liga,Lituânia,https://betnacional.bet.br/events/1/160/198,Não
136,A-League,Austrália,https://betnacional.bet.br/events/1/34/136,Não
463,AFC Champions League Elite,Clubes Internacionais,https://betnacional.bet.br/events/1/393/463,Não
668,AFC Champions League Two,Clubes Internacionais,https://betnacional.bet.br/events/1/393/668,Não
35,Alemanha - Bundesliga,,https://betnacional.bet.br/events/1/30/35,Não
40,Allsvenskan,Suécia,https://betnacional.bet.br/events/1/9/40,Não
851,Amistosos Internacionais,Internacional,https://betnacional.bet.br/events/1/4/851,Não
26916,Bola de Ouro 2025,Internacional,https://betnacional.bet.br/events/1/4/26916,Não
937,Botola,Marrocos,https://betnacional.bet.br/events/1/303/937,Não
325,Brasileirão Série A,,https://betnacional.bet.br/events/1/13/325,Sim
390,Brasileirão Série B,,https://betnacional.bet.br/events/1/13/390,Sim
45,Bundesliga,Áustria,https://betnacional.bet.br/events/1/17/45,Não
232,Bundesliga Feminina,Alemanha Amadores,https://betnacional.bet.br/events/1/122/232,Não
